Instance,Cost,Valid,Time(s)
U_10_0.5_Num_2,173.66,YES,.933191000
U_10_0.5_Num_3,138.80,YES,.828237000
U_10_0.5_Num_4,161.40,YES,.772254000
U_10_0.5_Num_5,134.32,YES,.752945000
U_10_0.5_Num_6,157.84,YES,.776835000
U_10_0.5_Num_7,144.98,YES,.852133000
U_10_0.5_Num_8,172.92,YES,.882647000
U_10_0.5_Num_9,144.13,YES,.876496000
U_10_0.5_Num_10,152.36,YES,.748494000
U_10_1.0_Num_2,218.36,YES,.837401000
U_10_1.0_Num_3,201.23,YES,.753530000
U_10_1.0_Num_4,237.92,YES,.675529000
U_10_1.0_Num_5,179.14,YES,.864488000
U_10_1.0_Num_6,220.81,YES,.786596000
U_10_1.0_Num_7,201.96,YES,.779212000
U_10_1.0_Num_8,196.58,YES,.802263000
U_10_1.0_Num_9,178.12,YES,.858367000
U_10_1.0_Num_10,214.44,YES,.765946000
U_10_1.5_Num_2,202.81,YES,.836315000
U_10_1.5_Num_3,252.51,YES,.756428000
U_10_1.5_Num_4,359.10,YES,.756687000
U_10_1.5_Num_5,275.85,YES,.756802000
U_10_1.5_Num_6,287.27,YES,.787459000
U_10_1.5_Num_7,266.30,YES,.737527000
U_10_1.5_Num_8,304.32,YES,.731938000
U_10_1.5_Num_9,238.91,YES,.815945000
U_10_1.5_Num_10,250.60,YES,.828370000
U_10_2.0_Num_2,403.89,YES,.630679000
U_10_2.0_Num_3,285.96,YES,.773087000
U_10_2.0_Num_4,411.04,YES,.718432000
U_10_2.0_Num_5,301.68,YES,.762913000
U_10_2.0_Num_6,390.27,YES,.674644000
U_10_2.0_Num_7,275.63,YES,.810716000
U_10_2.0_Num_8,334.92,YES,.758907000
U_10_2.0_Num_9,356.36,YES,.812910000
U_10_2.0_Num_10,395.54,YES,.631769000
U_10_2.5_Num_2,337.50,YES,.774917000
U_10_2.5_Num_3,340.50,YES,.692529000
U_10_2.5_Num_4,505.75,YES,.764127000
U_10_2.5_Num_5,345.60,YES,.785243000
U_10_2.5_Num_6,479.64,YES,.795497000
U_10_2.5_Num_7,355.90,YES,.800137000
U_10_2.5_Num_8,396.14,YES,.705828000
U_10_2.5_Num_9,439.91,YES,.780743000
U_10_2.5_Num_10,455.40,YES,.734464000
U_10_3.0_Num_2,536.81,YES,.752714000
U_10_3.0_Num_3,433.51,YES,.689658000
U_10_3.0_Num_4,603.81,YES,.730040000
U_10_3.0_Num_5,389.85,YES,.837665000
U_10_3.0_Num_6,588.77,YES,.710303000
U_10_3.0_Num_7,455.63,YES,.676023000
U_10_3.0_Num_8,410.29,YES,.670727000
U_10_3.0_Num_9,420.84,YES,.737239000
U_10_3.0_Num_10,522.40,YES,.750843000
